330	64
330	65
329	65
328	65
327	65
326	65
325	65
324	65
323	65
322	65
321	65
320	65
319	65
318	65
317	65
316	65
315	65
314	65
313	65
312	65
311	65
310	65
309	65
308	65
308	66
307	66
306	66
305	66
304	66
303	66
302	66
301	66
300	66
300	67
299	67
298	67
297	67
296	67
295	67
295	68
294	68
293	68
292	68
292	69
291	69
290	69
289	69
289	70
288	70
288	71
287	71
286	71
286	72
286	73
285	73
285	74
285	75
286	75
286	76
286	77
287	77
288	77
288	78
289	78
289	79
290	79
291	79
292	79
292	80
293	80
294	80
295	80
295	81
296	81
297	81
298	81
299	81
300	81
300	82
301	82
302	82
303	82
304	82
305	82
306	82
307	82
308	82
308	83
309	83
310	83
311	83
312	83
313	83
314	83
315	83
316	83
317	83
318	83
319	83
320	83
321	83
322	83
323	83
324	83
325	83
326	83
327	83
328	83
329	83
330	83
330	84
331	84
332	84
332	83
333	83
334	83
335	83
336	83
337	83
338	83
339	83
340	83
341	83
342	83
343	83
344	83
345	83
346	83
347	83
348	83
349	83
350	83
351	83
352	83
353	83
354	83
355	83
356	83
357	83
358	83
359	83
360	83
361	83
361	82
362	82
363	82
364	82
365	82
366	82
367	82
368	82
369	82
370	82
371	82
372	82
373	82
374	82
375	82
375	81
376	81
377	81
378	81
379	81
380	81
381	81
382	81
383	81
384	81
385	81
386	81
386	80
387	80
388	80
389	80
390	80
391	80
392	80
393	80
394	80
395	80
396	80
396	79
397	79
398	79
399	79
400	79
401	79
402	79
403	79
404	79
405	79
406	79
406	78
407	78
408	78
409	78
410	78
411	78
412	78
413	78
414	78
415	78
415	77
416	77
417	77
418	77
419	77
420	77
421	77
422	77
423	77
423	76
424	76
425	76
426	76
427	76
428	76
429	76
430	76
431	76
431	75
432	75
433	75
434	75
435	75
436	75
437	75
437	74
437	73
436	73
435	73
434	73
433	73
432	73
431	73
431	72
430	72
429	72
428	72
427	72
426	72
425	72
424	72
423	72
423	71
422	71
421	71
420	71
419	71
418	71
417	71
416	71
415	71
415	70
414	70
413	70
412	70
411	70
410	70
409	70
408	70
407	70
406	70
406	69
405	69
404	69
403	69
402	69
401	69
400	69
399	69
398	69
397	69
396	69
396	68
395	68
394	68
393	68
392	68
391	68
390	68
389	68
388	68
387	68
386	68
386	67
385	67
384	67
383	67
382	67
381	67
380	67
379	67
378	67
377	67
376	67
375	67
375	66
374	66
373	66
372	66
371	66
370	66
369	66
368	66
367	66
366	66
365	66
364	66
363	66
362	66
361	66
361	65
360	65
359	65
358	65
357	65
356	65
355	65
354	65
353	65
352	65
351	65
350	65
349	65
348	65
347	65
346	65
345	65
344	65
343	65
342	65
341	65
340	65
339	65
338	65
337	65
336	65
335	65
334	65
333	65
332	65
332	64
331	64
330	64
